"lterid","title","knbid","authors"
"SBC","SBC LTER: Reef: Kelp Forest Community Dynamics: Abundance and size of Giant Kelp (Macrocystis Pyrifera), ongoing since 2000","knb-lter-sbc.18.18","Daniel Reed"
"SBC","SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance","knb-lter-sbc.17.28","Daniel Reed"
"SBC","SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density","knb-lter-sbc.19.21","Daniel Reed"
"SBC","SBC LTER: Reef: Kelp Forest Community Dynamics: Cover of sessile organisms, Uniform Point Contact","knb-lter-sbc.15.23","Daniel Reed"
"SBC","SBC LTER: Reef: Long-term experiment: Kelp removal: Abundance and size of Giant Kelp","knb-lter-sbc.29.13","Santa Barbara Coastal LTER, Daniel Reed"
"SBC","SBC LTER: Reef: Long-term experiment: Kelp removal: Fish abundance","knb-lter-sbc.30.13","Santa Barbara Coastal LTER, Daniel Reed"
"SBC","SBC LTER: Reef: Long-term experiment: Kelp removal: Invertebrate and algal density","knb-lter-sbc.34.11","Santa Barbara Coastal LTER, Daniel Reed"
"SBC","SBC LTER: Reef: Long-term experiment: Kelp removal: Cover of sessile organisms, Uniform Point Contact","knb-lter-sbc.28.21","Santa Barbara Coastal LTER, Daniel Reed"
"SBC","SBC LTER: Reef: Long-term experiment: Algal Biomass","knb-lter-sbc.49.8","Santa Barbara Coastal LTER, Daniel Reed, Shannon Harrer"
"SBC","SBC LTER: Reef: Abundance, size and fishing effort for California Spiny Lobster (Panulirus interruptus), ongoing since 2012","knb-lter-sbc.77.1","Santa Barbara Coastal LTER, Daniel Reed"
"SBC","SBC LTER: Time series of settlement of urchins and other invertebrates","knb-lter-sbc.52.3","Santa Barbara Coastal LTER, Steven Schroeter, John Dixon, Thomas Ebert, John Richards"
"SBC","SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi","knb-lter-sbc.39.4","Santa Barbara Coastal LTER, Russell Schmitt, Sally Holbrook"
"SBC","SBC LTER: Santa Cruz Island: Cover of Algae, Invertebrates and Benthic Substrate","knb-lter-sbc.38.4","Santa Barbara Coastal LTER, Russell Schmitt, Sally Holbrook"
"SBC","SBC LTER: Santa Cruz Island: Abundance and Biomass of Benthic Organisms (food resource collection)","knb-lter-sbc.47.3","Santa Barbara Coastal LTER, Russell Schmitt, Sally Holbrook"
"SBC","SBC LTER: Santa Cruz Island: Abundance of Pycnopodia helianthoides","knb-lter-sbc.46.3","Santa Barbara Coastal LTER, Russel Schmitt, Sally Holbrook"
"SBC","SBC LTER: Reef: Historical Kelp Database for giant kelp (Macrocystis pyrifera) biomass in California and Mexico","knb-lter-sbc.14.13","Daniel Reed"
"SBC","SBC LTER: Reef: Sightings of sea otters (Enhydra lutris) near Santa Barbara and Channel Islands, ongoing since 2007","knb-lter-sbc.61.4","Daniel Reed, Shannon Harrer, J Nelson"
"SBC","SBC LTER: Cross-shelf Study 2008-2009: Profiles of CTD, biogeochemistry, primary production, abundance of phytoplankton groups, and abundance and production of bacteria","knb-lter-sbc.45.8","SB Coastal LTER, Elisa Halewood, Craig Carlson, Mark Brzezinski, Jo Goodman"
"SEV","Rodent Parasite Data for the Sevilleta National Wildlife Refuge, New Mexico (1990-1998)","knb-lter-sev.13.270182","Don Duszyinski"
"SEV","2003 Prescribed Burn Effect on Chihuahuan Desert Grasses and Shrubs at the Sevilleta National Wildlife Refuge, New Mexico: Grass Recovery Study (2003- )","knb-lter-sev.148.131882","Esteban Muldavin"
"SEV","Burn Exclosure Rodent Population Study at the Sevilleta National Wildlife Refuge, New Mexico, (1991-1993)","knb-lter-sev.15.218704","Robert Parmenter"
"SEV","Nitrogen Fertilization Experiment (NFert): Net Primary Production Quadrat Data at the Sevilleta National Wildlife Refuge, New Mexico (2004-present)","knb-lter-sev.155.233346","Scott Collins"
"SEV","Burn Study Sites Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge, New Mexico (2004-present)","knb-lter-sev.156.245412","Esteban Muldavin"
"SEV","Plant Removal Study: Recovery of Vegetation Following Disturbance at the Sevilleta National Wildlife Refuge, New Mexico (1995-2010)","knb-lter-sev.168.192537","Debra Peters"
"SEV","Bird Community Assessment in Grassland, Shrubland, and Woodland Habitats at the Sevilleta National Wildlife Refuge, New Mexico (1991-1997)","knb-lter-sev.17.120278","Robert Parmenter"
"SEV","Pino Gate Prairie Dog Study at the Sevilleta National Wildlife Refuge, New Mexico: Landscape Plot Lizard Data (2001-2002)","knb-lter-sev.173.87391","Ana Davidson, David Lightfoot"
"SEV","Warming-El Nino-Nitrogen Deposition Experiment (WENNDEx): Net Primary Production Quadrat Data at the Sevilleta National Wildlife Refuge, New Mexico (2006 -present)","knb-lter-sev.176.233653","Scott Collins, William Pockman, Joe Fargione"
"SEV","Livestock Exclosure Study: Plant Species Composition in a Chihuahuan Desert Grassland at the Sevilleta National Wildlife Refuge, New Mexico (2004-2007)","knb-lter-sev.178.133945","Scott Collins, Lydia Zeglin"
"SEV","Pinon Juniper Net Primary Production Quadrat Data from the Sevilleta National Wildlife Refuge, New Mexico: 1999-2001","knb-lter-sev.187.167478","Esteban Muldavin"
"SEV","Monsoon Rainfall Manipulation Experiment (MRME): Net Primary Production Quadrat Data at the Sevilleta National Wildlife Refuge, New Mexico (2006-present)","knb-lter-sev.188.243666","Scott Collins"
"SEV","Pino Gate Prairie Dog Study: Landscape-scale Vegetation Plot Data from the Sevilleta National Wildlife Refuge, New Mexico (1999-2002)","knb-lter-sev.193.178639","Ana Davidson, David Lightfoot"
"SEV","Pino Gate Prairie Dog Study: Mound-scale Vegetation Plot Data from the Sevilleta National Wildlife Refuge, New Mexico (2000-2002)","knb-lter-sev.194.188141","Ana Davidson, David Lightfoot"
"SEV","Gunnison's Prairie Dog Relocation Project: Vegetation Cover Data from the Sevilleta National Wildife Refuge, New Mexico (2005-2013 )","knb-lter-sev.212.1","Ana Davidson, David Lightfoot"
"SEV","Effect of Habitat Restoration on Native Bee Communities at the Bosque del Apache National Wildlife Refuge, New Mexico (2008-2010)","knb-lter-sev.215.173899","Karen Wright"
"SEV","Population Ecology of Banner-Tailed Kangaroo Rats (Dipodomys spectabilis) in a Chihuahuan Desert Grassland at the Sevilleta National Wildlife Refuge, New Mexico (2005-2009)","knb-lter-sev.228.102077","Andrew Edelman"
"SEV","Rabbit Population Dynamics in Chihuahuan Desert Grasslands and Shrublands at the Sevilleta National Wildlife Refuge, New Mexico (1992- )","knb-lter-sev.23.121704","Robert Parmenter"
"SEV","Effects of Multiple Resource Additions on Community and Ecosystem Processes: NutNet NPP Quadrat Sampling at the Sevilleta National Wildlife Refuge, New Mexico (2007-present)","knb-lter-sev.231.176381","Scott Collins"
"SEV","Gunnison's Prairie Dog Restoration Experiment (GPDREx): Population Dynamics within Grasslands at the Sevilleta National Widlife Refuge, New Mexico","knb-lter-sev.236.257686","Ana Davidson, Stephanie Baker"
"SEV","Gunnison's Prairie Dog Restoration Experiment (GPDREx): Vegetation Cover Data from the Sevilleta National Wildlife Refuge, New Mexico","knb-lter-sev.238.226091","Ana Davidson, Stephanie Baker"
"SEV","Kruger Species Composition: Konza-Kruger Fire-Grazing Project (2006-2010)","knb-lter-sev.266.180462","Alan Knapp, Melinda Smith, John Blair, Scott Collins, Deron Burkepile, Kevin Kirkman"
"SEV","Konza Species Composition: Konza-Kruger Fire-Grazing Project (2006-2010)","knb-lter-sev.267.196138","Alan Knapp, Melinda Smith, John Blair, Scott Collins, Deron Burkepile, Kevin Kirkman"
"SEV","Pinon-Juniper (Core Site) Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge, New Mexico (2003-present )","knb-lter-sev.278.245672","Esteban Muldavin"
"SEV","Ground Arthropod Community Survey in Grassland, Shrubland, and Woodland at the Sevilleta National Wildlife Refuge, New Mexico (1992-2004)","knb-lter-sev.29.175390","David Lightfoot"
"SEV","Extreme Drought in Grassland Ecosystems (EDGE) Net Primary Production Quadrat Data at the Sevilleta National Wildlife Refuge, New Mexico (2012-present)","knb-lter-sev.297.233742","Scott Collins"
"SEV","Water Balance Modeling Project at the Sevilleta National Wildlife Refuge, New Mexico: Vegetation Plot Data (1995-1998)","knb-lter-sev.81.185474","NA"
"SEV","Small Mammal Exclosure Study (SMES) Ant Data from Chihuahuan Desert Grassland and Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (1995-2005)","knb-lter-sev.88.122261","David Lightfoot"
"SEV","Small Mammal Exclosure Study (SMES) Vegetation Data from the Chihuahuan Desert Grassland and Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (1995-2009)","knb-lter-sev.88.122261","David Lightfoot"
"SGS","SGS-LTER Long-Term Monitoring Project : Vegetation Cover and Structure on Small Mammal Trapping Webs on the Central Plains Experimental Range, Nunn, Colorado, USA 1999 -2006, ARS Study Number 118","knb-lter-sgs.141.17","Paul Stapp"
"SGS","SGS-LTER Standard Production Data : 1983-2008 Annual Aboveground Net Primary Production on the Central Plains Experimental Range, Nunn, Colorado, USA 1983-2008, ARS Study Number 6","knb-lter-sgs.700.1","Daniel Milchunas"
"SGS","Open Top Chamber Experiment Carbon Dioxide (CO2) Elevation Experiment at the Central Plains Experimental Range, Nunn, Colorado, USA","not available","Jack Morgan"
"SGS","SGS-LTER Bouteloua gracilis removal experiment vegetation data (ARS #155) on the Central Plains Experimental Range, Nunn, Colorado, USA","not available","William Lauenroth"
"SGS","SGS-LTER Bouteloua gracilis removal experiment vegetation data (ARS #155) on the Central Plains Experimental Range, Nunn, Colorado, USA",NA,"William Lauenroth"
"SGS","SGS-LTER Disturbance intensity and above- and belowground herbivory effects on long-term recovery of shortgrass steppe on the Central Plains Experimental Range, Nunn, Colorado, USA 1977-1990","knb-lter-sgs.130.18","William_Lauenroth"
"SGS","SGS-LTER Ecosystem Stress Area : Long-term dataset following nutrient enrichment stress on the Central Plains Experimental Range in Nunn, Colorado, USA, ARS Study Number 3","not available","Daniel G Milchunas, William K Lauenroth"
"SGS","SGS-LTER Ecosystem Stress Area : Long-term dataset following nutrient enrichment stress on the Central Plains Experimental Range in Nunn, Colorado, USA, ARS Study Number 3","not available","Daniel_G._Milchunas;William_K._Lauenroth"
"SGS","SGS-LTER Effects of grazing on ecosystem structure and function (GZTX): Vegetation measurements on the Central Plains Experimental Range, Nunn, Colorado, USA 1992-2008, ARS Study Number 32","knb-lter-sgs.527.1","Daniel G. Milchunas"
"SGS","SGS-LTER Effects of water and nitrogen additions on plants in shortgrass ecosystems on the Central Plains Experimental Range, Nunn, Colorado, USA 1997-2011, ARS Study Number 143","knb-lter-sgs.542.1","William K. Lauenroth"
"SGS","SGS-LTER Impact of Labile and Recalcitrant Carbon Treatments on Plant Communities in a Semiarid Ecosystem on the Central Plains Experimental Range, Nunn, Colorado, USA 1997-2012, ARS Study Number 3","knb-lter-sgs.539.1","Ingrid C. Burke"
"SGS","SGS-LTER Impact of Labile and Recalcitrant Carbon Treatments on Plant Communities in a Semiarid Ecosystem on the Central Plains Experimental Range, Nunn, Colorado, USA 1997-2012, ARS Study Number 3","knb-lter-sgs.540.1","Ingrid C. Burke"
"SGS","SGS-LTER Long-term Monitoring Project : Carnivore Scat Count on the Central Plains Experimental Range, Nunn, Colorado, USA 1997 -2006, ARS Study Number 98","knb-lter-sgs.135.17","Paul Stapp"
"SGS","SGS-LTER Long-Term Monitoring Project : Small Mammals on Trapping Webs on the Central Plains Experimental Range, Nunn, Colorado, USA 1994 -2006, ARS Study Number 118","knb-lter-sgs.137.17","Paul Stapp"
"SGS","SGS-LTER Long-Term Monitoring Project : Spermophilus tridecemlineatus on Small Mammal Trapping Webs on the Central Plains Experimental Range, Nunn, Colorado, USA 1999 -2006, ARS Study Number 118","knb-lter-sgs.139.17","Paul Stapp"
"SGS","SGS-LTER Long-term Monitoring Project : Spotlight Rabbit Count on the Central Plains Experimental Range, Nunn, Colorado, USA 1994-2006, ARS Study Number 98","knb-lter-sgs.136.17","Paul Stapp"
"SGS","SGS-LTER Long-Term Montitoring Project : Arthropod Pitfall Trapping on Small Mammal Trapping Webs on the Central Plains Experimental Range, Nunn, Colorado, USA 1998-2006, ARS Study Number 118","knb-lter-sgs.134.17","Paul Stapp"
"VCR","Annual heron counts on Chincoteague Island, Virginia 1992-2011","knb-lter-vcr.166.14","Dr. R. Erwin"
"VCR","Biomass of benthic macroalgae in Virginia Coastal Bays 1998-2007","not available","Karen McGlathery, Amber Hardison"
"VCR","Density of Seagrass in Hog Island Bay, VA 2007-2010","knb-lter-vcr.181.11","Karen McGlathery"
"VCR","Vegetation and Ground Cover of Permanent Plots for Upper Phillips Creek Marsh, Nassawadox, VA 1990-2014","knb-lter-vcr.122.21","Mark Brinson, Robert Christian"
"VCR","Long Term Mammal Data from Powdermill Biological Station 1979-1999","knb-lter-vcr.67.17","Joseph Merritt"
"VCR","Dune Biomass on Hog Island, Virginia Coastal Barrier Islands, 1993-2012","knb-lter-vcr.70.20","Frank Day`"
"VCR","Long-term N-fertilized vegetation plots on Hog Island, Virginia Coastal Barrier Islands, 1992-2014","knb-lter-vcr.106.25_","Frank Day"
"AND","Spatial and temporal distribution and abundance of moths in the Andrews Experimental Forest, 1994 to 2008",NA,"Julia A. Jones"
"AND","Spatial and temporal distribution and abundance of butterflies in the Andrews Experimental Forest, 1994-1996",NA,"Jeffery C. Miller"
"AND","Aquatic insect sampling in Lookout Creek at the H.J. Andrews Experimental Forest, 2001",NA,"Sherri Johnson"
"AND","Headwater Stream Macroinvertebrates of the H.J. Andrews Experimental Forest, Oregon, 2003-2004",NA,"Sherri Johnson"
"AND","Terrestrial Insect Activity Phenology with trap collections at HJ Andrews",NA,"Sherri Johnson"
"AND","Soil Moisture and vegetation cover patterns after logging and burning an old-growth Douglas-fir forest in the Andrews Experimental Forest, 1960-1983",NA,"Al Levno"
"AND","Long-term log decay experiments at the Andrews Experimental Forest, 1985 to 2185",NA,"Mark Harmon"
"AND","Post-logging community structure and biomass accumulation in Watershed 10, Andrews Experimental Forest , 1974 to present",NA,"Tom Spies"
"AND","Species interactions during succession in the western Cascade Range of Oregon, 1990 to present",NA,"Charles Halpern"
"AND","Species interactions during succession in the western Cascade Range of Oregon, 1990 to present",NA,"Charles Halpern"
"AND","Primary succession on Mount St. Helens: long-term permanent plots",NA,"Roger del Moral"
"AND","Mount St. Helens Vegetation Succession",NA,"Roger del Moral"
"AND","Ground-dwelling vertebrates, birds, habitat data on the Willamette National Forest, Oregon (Young Stand Thinning and Diversity Study), 1991-2012",NA,"Joan Hagar, Tom Manning"
"AND","DEMO Wildlife Study: Arboreal Rodents, Small Mammals, Amphibians, and Birds_",NA,"Keith B. Aubry"
"AND","Monitoring small mammal and amphibian abundances on the Willamette National Forest, Oregon (Long-Term Ecosystem Productivity experiment), 1995-1999",NA,"Steven L. Garman"
"NWT","Small mammal disturbance data for Niwot Ridge from 1981/6/30 - 1990/8/23, yearly",NA,"Jim Halfpenny, Hope Humphries"
"BNZ","Eight Mile Lake Research Watershed, Carbon in Permafrost Experimental Heating Research (CiPEHR): Aboveground plant biomass, 2009-2013.","knb-lter-bnz.501.11","Susan Natali, Verity G. Salmon, Edward A.G. Schuur"
"BNZ","Eight Mile Lake Research Watershed, Carbon in Permafrost Experimental Heating and Drying Research (DryPEHR): Aboveground plant biomass, 2011.","knb-lter-bnz.502.9","Marguerite Mauritz, Susan Natali, Verity G. Salmon, Edward A.G. Schuur"
"BNZ","Bonanza Creek Experimental Forest Beetles Per Trap Beginning in 1975 - Kruse_","knb-lter-bnz.504.7","James J Kruse, Richard A Wagner, Diane Wagner"
"BNZ","Bonanza Creek Experimental Forest Beetle Population Counts_",NA,"Richard A. Werner"
"BNZ","Chugach National Forest Beetle Population Counts_",NA,"Richard A. Werner"
"BNZ","Tree regeneration after fire: Effects of burn severity, CPCRW vegetative cover analysis_",NA,"Stuart F. Chapin, Jill Johnstone"
"BNZ","Tree regeneration after fire: Effects of burn severity, Delta vegetative cover analysis_",NA,"F. Stuart Chapin, Jill Johnstone"
"BNZ","Biomass of stream macroinvertebrates and benthic organic material in CPCRW_",NA,"Jeremy Boyd Jones"
"BNZ","Abundance of stream macroinvertebrates and benthic organic material in CPCRW_",NA,"Jeremy Boyd Jones"
"BNZ","Riparian clearing in CPCRW: Macroinvertebrate and CPOM data; 1982 - 1986_",NA,"Jeremy Boyd Jones"
"BNZ","Vegetation and plant community composition for 150 extensive mature black spruce sites in interior Alaska_",NA,"Teresa Nettleton Hollingsworth"
"BNZ","Vegetation Plots of the Bonanza Creek LTER Control Plots: Species Percent Cover (1975 - 2009)_",NA,"F. Stuart Chapin, Teresa Nettleton Hollingsworth, Roger W. Ruess, Keith Van Cleve"
"BNZ","Vegetation Plots of the Bonanza Creek LTER Control Plots: Species Count (1975 - 2004)_",NA,"Leslie A. Viereck, Keith Van Cleve, F. Stuart Chapin, Roger W. Ruess, Teresa Nettleton Hollingsworth"
"BNZ","Vegetation cover: Wickersham fire sites (at the Viereck thaw probe locations), 1977-2004_",NA,"Phyllis C. Adams, Jamie Hollingsworth, Leslie A. Viereck, Nan Werdin-Pfisterer"
"BNZ","Vegetation composition for 84 sites in the Regional Site Network, compilation from previous surveys.",NA,"Roger W. Ruess, Teresa Nettleton Hollingsworth, Jill Johnstone"
"CDR","e001: Long-Term Nitrogen Deposition: Population, Community, and Ecosystem Consequences",NA,"David Tilman"
"CDR","e054: Old-Field Chronosequence:  Plant Productivity",NA,"David Tilman, Johannes Knops"
"CDR","e097: Nitrogen Addition and Dynamics of Recovery from Cessation of N Addition",NA,"David Tilman"
"CDR","e098: Fire X Nitrogen: Interactive Effects in a Prairie-Like Grassland",NA,"David Tilman"
"CDR","e133: Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments",NA,"Peter Reich, David Wedin, Sarah Hobbie, Mark Davis"
"CDR","e172: Herbivory by Nitrogen Interactive Effects on Community and Ecosystem Processes and Dynamics",NA,"David Tilman"
"CDR","e244: Natural Enemies, Plant Diversity and Plant Community Composition",NA,"Helene Muller-landau, Linda Kinkel"
"CDR","e244: Natural Enemies, Plant Diversity and Plant Community Composition",NA,"Helene Muller-Landau, Linda Kinkel"
"CDR","e245: The influence of natural enemies on plant community composition and productivity",NA,"Linda Kinkel, Helene Muller-Landau"
"CDR","e245: The influence of natural enemies on plant community composition and productivity",NA,"Linda Kinkel, Helene Muller-Landau"
"CDR","e249: BAC: Biodiversity and Climate",NA,"David Tilman, Jennifer Powers, Joe McFadden"
"CDR","e249: BAC: Biodiversity and Climate",NA,"David Tilman, Jennifer Powers, Joe McFadden"
"CDR","e008: Effect of N Addition on Vegetation with Mammalian Herbivory",NA,"Nancy Huntly, Richard Inouye"
"CDR","e009: Effect of N Addition on Vegetation With Mammalian Herbivory Initially on Disked Ground",NA,"Nancy Huntly, Richard Inouye"
"CDR","e010: Herbivore Effects on a Large, Unmanipulated Area",NA,"Nancy Huntly, Richard Inouye"
"CDR","e025: The Effects of Adding Different Levels of Nitrogen at Different Times During the Growing Season",NA,"Richard Inouye"
"CDR","e026: Traits: Competition and Resource Reduction for Five Grass Species Grown in Monoculture and Competition in Soils with Different Nitrogen Availabilities",NA,"David Wedin, David Tilman"
"CDR","e055: Plant Competition Under Different Nitrogen Levels:A Garden Experiment",NA,"David Tilman"
"CDR","e061: Effect of Bird Predation on Grasshopper and Plant Communties",NA,"Mark Ritchie, David Tilman"
"CDR","e070: Legume Competition Garden",NA,"David Tilman"
"CDR","e079: Distribution of Wetland Plant Species in Relation to the Level of the Water Table",NA,"Martha Phillips, Eville Gorham, Charlotte Bryant"
"CDR","e093: Soil Heterogeneity and Plant Diversity in an Oak Savanna",NA,"David Tilman"
"CDR","e123: The Small Biodiversity Experiment",NA,"David Tilman, David Wedin, Peter Reich, Johannas Knops"
"CDR","e123: The Small Biodiversity Experiment",NA,"David Tilman, David Wedin, Peter Reich, Johannes Knops"
"CDR","e142: Effects of Long Term Fertilization and Oak Canopy Cover on Plant Communities and Ecosystem Processes",NA,"Peter Reich"
"GCE","Visual survey of insect communities on Iva frutescens in summer 2013 and 2014 on Sapelo Island, Georgia",NA,"Wei-Ting Lin"
"GCE","Crab population monitoring: mid-marsh and creek bank abundance based on crab hole counts at GCE marsh, monitoring sites 1-10 (All sampling intervals)",NA,"Steven C. Pennings, Caroline Reddy, Jacob, Shalack, Joel Craig, Sean Sharp, et al."
